Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 01:00,0.45,179.0,5.64,4.52,1.57,48.26,4.3,3.8,0.0,990.85,2.5,2.56,4.37,75.44,2.38
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 02:00,0.42,163.0,5.08,4.16,1.51,50.58,7.5,5.4,0.0,990.84,2.52,2.6,4.16,78.05,0.82
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 03:00,0.42,299.0,5.93,4.61,1.51,46.56,6.4,4.19,0.0,991.0,2.45,2.59,3.51,78.05,0.08
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 04:00,0.41,181.0,4.84,4.16,1.63,55.32,7.19,5.19,0.0,990.83,2.46,2.6,4.38,74.5,2.07
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 05:00,0.38,275.0,4.97,3.98,1.39,55.74,9.1,5.5,0.0,990.68,2.5,2.53,4.98,71.46,0.66
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 06:00,0.4,176.0,5.49,4.43,1.56,57.89,5.3,3.7,0.0,990.82,2.46,2.7,5.17,70.65,1.12
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 07:00,0.39,205.0,5.98,4.91,1.79,56.97,9.69,8.5,0.0,990.87,2.48,2.69,5.16,69.04,2.93
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 08:00,0.38,210.0,4.85,4.15,1.62,60.53,5.96,4.66,0.0,991.18,28.44,2.62,5.83,66.12,3.05
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 09:00,0.37,211.0,-9999.0,-9999.0,-9999.0,56.47,9.6,7.69,0.0,991.56,161.74,2.61,6.57,69.68,2.97
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 10:00,0.37,204.0,7.13,5.25,1.53,56.03,5.19,4.8,0.0,991.85,271.63,2.69,9.04,66.17,1.84
