Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Viggiano1,40.334722,15.900555,01/01/2021 01:00,0.95,0.47,309.0,0.11,2.0,913.78,25.12,1.77,3.08,0.85,0.1,71.48,9.3,4.41,0.0,922.05,0.0,-132.89,0.51,4.53,0.41,80.8,6.68,0.09
Viggiano1,40.334722,15.900555,01/01/2021 02:00,0.69,0.46,303.0,0.11,2.0,913.0,24.64,1.61,3.5,1.23,0.11,71.24,14.77,5.16,0.0,922.23,0.0,-116.53,0.71,4.54,0.3,80.04,5.92,0.09
Viggiano1,40.334722,15.900555,01/01/2021 03:00,0.62,0.48,307.0,0.11,2.1,916.95,24.29,1.59,3.08,0.97,0.1,67.23,18.32,7.36,0.0,922.46,0.0,-116.02,0.96,4.01,0.26,84.12,5.37,0.09
Viggiano1,40.334722,15.900555,01/01/2021 04:00,0.61,0.46,308.0,0.12,1.73,911.71,22.35,1.14,2.62,0.97,0.11,69.44,9.32,3.82,0.0,922.44,0.0,-124.01,0.82,4.47,0.23,83.63,6.03,0.09
Viggiano1,40.334722,15.900555,01/01/2021 05:00,0.5,0.44,305.0,0.12,1.52,910.4,21.52,1.01,2.74,1.13,0.11,69.67,7.98,4.07,0.0,922.3,0.0,-121.32,2.38,4.33,0.23,84.31,5.61,0.1
Viggiano1,40.334722,15.900555,01/01/2021 06:00,0.48,0.46,316.0,0.11,1.35,910.79,22.71,1.66,3.39,1.13,0.1,65.53,17.17,8.44,0.0,922.38,0.0,-119.98,3.45,3.82,0.19,87.18,5.52,0.09
Viggiano1,40.334722,15.900555,01/01/2021 07:00,0.57,0.46,311.0,0.11,1.23,910.1,22.89,1.29,2.46,0.77,0.1,65.52,18.55,9.72,0.0,922.57,0.0,-116.94,2.99,4.05,0.25,86.91,5.78,0.09
Viggiano1,40.334722,15.900555,01/01/2021 08:00,0.53,0.43,306.0,0.12,1.31,909.7,21.43,1.38,2.55,0.77,0.11,-9999.0,26.03,12.42,0.0,923.15,16.17,-107.73,3.35,5.54,0.26,79.91,5.45,0.1
Viggiano1,40.334722,15.900555,01/01/2021 09:00,0.44,0.42,222.0,0.12,1.49,911.97,20.33,1.2,2.66,0.95,0.11,74.32,8.64,3.84,0.0,924.83,144.1,38.91,3.42,8.81,0.24,67.83,2.23,0.1
Viggiano1,40.334722,15.900555,01/01/2021 10:00,0.44,0.41,222.0,0.12,1.29,927.04,21.08,1.53,3.22,1.1,0.11,70.4,19.53,12.07,0.0,925.01,232.9,134.0,4.14,9.73,0.17,62.64,2.84,0.1
Viggiano1,40.334722,15.900555,01/01/2021 11:00,0.48,0.41,225.0,0.12,1.35,919.77,19.95,-9999.0,-9999.0,-9999.0,0.12,73.01,26.96,11.5,0.0,924.98,290.87,201.57,4.13,11.25,0.17,55.49,3.08,0.11
Viggiano1,40.334722,15.900555,01/01/2021 12:00,0.46,0.41,226.0,0.13,1.59,918.2,21.7,1.36,2.46,0.72,0.12,73.64,11.02,7.05,0.0,924.69,122.88,85.69,3.58,9.76,0.17,61.61,2.63,0.11
Viggiano1,40.334722,15.900555,01/01/2021 13:00,0.46,0.41,221.0,0.12,1.42,910.11,18.87,1.14,2.6,0.96,0.11,75.25,16.67,10.19,0.0,924.18,138.51,103.56,3.38,9.54,0.25,68.8,3.15,0.1
Viggiano1,40.334722,15.900555,01/01/2021 14:00,0.47,0.4,205.0,0.13,1.6,907.07,20.02,1.37,2.65,0.84,0.12,73.33,13.01,6.48,0.0,923.79,192.6,138.78,3.97,10.75,0.17,64.72,3.11,0.11
Viggiano1,40.334722,15.900555,01/01/2021 15:00,0.48,0.37,212.0,0.12,1.47,903.46,20.24,0.97,2.32,0.88,0.11,75.14,6.91,3.24,0.0,923.66,188.02,133.14,4.15,11.28,0.16,60.96,4.31,0.1
Viggiano1,40.334722,15.900555,01/01/2021 16:00,0.43,0.28,176.0,0.13,2.31,908.1,27.39,1.27,2.18,0.59,0.12,74.02,10.57,6.24,0.2,923.73,44.05,-4.19,4.37,9.63,0.17,69.19,2.85,0.11
Viggiano1,40.334722,15.900555,01/01/2021 17:00,0.43,0.31,199.0,0.12,1.89,907.42,23.62,2.32,3.74,0.93,0.12,71.9,8.36,4.76,0.0,923.86,13.34,-72.86,3.79,7.56,0.17,85.63,2.43,0.11
Viggiano1,40.334722,15.900555,01/01/2021 18:00,0.45,0.4,165.0,0.12,1.76,911.18,33.86,3.87,4.87,0.65,0.11,67.57,10.17,5.39,0.0,923.98,4.19,-80.35,3.43,6.62,0.16,87.47,1.84,0.1
Viggiano1,40.334722,15.900555,01/01/2021 19:00,0.88,0.42,168.0,0.12,1.74,915.16,32.81,4.65,6.18,1.0,0.11,67.29,9.94,6.19,0.0,923.2,1.79,-98.29,3.64,6.05,0.65,84.08,3.03,0.23
Viggiano1,40.334722,15.900555,01/01/2021 20:00,0.94,0.33,184.0,0.11,1.37,907.9,23.5,2.28,3.51,0.81,0.1,71.17,7.97,3.24,0.0,922.82,0.35,-100.17,3.33,5.88,0.61,78.28,4.22,0.11
Viggiano1,40.334722,15.900555,01/01/2021 21:00,0.51,0.34,113.0,0.12,1.53,908.52,22.69,1.65,3.19,1.0,0.11,73.67,15.99,6.98,0.0,924.16,5.95,-35.0,3.64,7.47,0.31,68.98,1.88,0.1
Viggiano1,40.334722,15.900555,01/01/2021 22:00,0.51,0.38,151.0,0.12,1.56,908.75,25.33,1.37,1.83,0.3,0.11,73.3,19.76,6.9,0.0,924.16,5.07,-49.87,3.31,7.01,0.21,70.96,2.57,0.1
Viggiano1,40.334722,15.900555,01/01/2021 23:00,0.64,0.33,200.0,0.12,1.37,906.78,22.85,1.71,2.06,0.23,0.11,77.08,12.71,5.09,0.0,924.19,4.33,-28.75,3.78,7.24,0.31,79.5,2.56,0.1
Viggiano1,40.334722,15.900555,02/01/2021 00:00,0.41,0.33,195.0,0.12,1.67,911.88,28.91,6.01,6.32,0.21,0.12,72.7,9.21,2.31,0.0,923.96,3.7,-68.32,4.69,7.36,0.21,74.91,2.3,0.1
Viggiano1,40.334722,15.900555,02/01/2021 01:00,0.46,0.35,181.0,0.11,1.48,906.82,23.66,2.64,2.9,0.17,0.1,74.62,9.21,3.73,0.0,923.57,4.24,-78.82,3.88,6.99,0.17,73.5,1.74,0.09
Viggiano1,40.334722,15.900555,02/01/2021 02:00,0.49,0.36,195.0,0.12,1.65,910.98,30.57,5.11,5.48,0.24,0.11,70.62,7.98,3.34,0.0,923.47,4.059,-79.52,5.02,6.98,0.22,69.86,1.82,0.09
Viggiano1,40.334722,15.900555,02/01/2021 03:00,0.52,0.37,190.0,0.11,2.12,913.09,35.96,10.95,11.14,0.12,0.1,66.6,12.46,9.35,0.0,923.37,4.32,-59.44,7.64,7.07,0.16,69.33,1.97,0.09
Viggiano1,40.334722,15.900555,02/01/2021 04:00,0.51,0.34,73.0,0.11,1.38,902.7,21.35,1.63,1.97,0.22,0.11,74.17,13.52,8.89,0.0,922.78,5.58,3.81,4.95,8.22,0.21,63.1,2.29,0.09
Viggiano1,40.334722,15.900555,02/01/2021 05:00,0.44,0.34,97.0,0.12,1.7,901.93,21.22,0.94,1.23,0.19,0.11,72.67,6.23,2.1,0.2,922.28,1.38,-22.94,4.51,7.42,0.17,67.67,2.66,0.09
Viggiano1,40.334722,15.900555,02/01/2021 06:00,0.44,0.34,116.0,0.12,1.54,897.68,17.82,0.94,1.26,0.21,0.11,74.52,17.48,6.07,0.6,920.34,0.0,-58.57,3.76,6.36,0.16,82.71,6.97,0.1
Viggiano1,40.334722,15.900555,02/01/2021 07:00,0.43,0.31,105.0,0.12,1.79,895.17,18.68,0.99,1.27,0.18,0.11,-9999.0,7.94,2.13,0.4,921.43,1.59,-27.51,3.38,7.44,0.24,89.1,4.62,0.1
Viggiano1,40.334722,15.900555,02/01/2021 08:00,0.38,0.31,97.0,0.11,1.89,897.25,19.34,0.87,1.2,0.21,0.1,73.4,5.83,3.29,0.4,922.2,18.59,-15.76,3.44,7.41,0.16,91.11,3.75,0.09
Viggiano1,40.334722,15.900555,02/01/2021 09:00,0.38,0.29,99.0,0.12,1.79,897.54,18.29,1.04,1.35,0.2,0.11,74.06,10.98,6.36,0.0,922.08,137.74,47.38,3.56,9.67,0.16,81.66,3.56,0.1
Viggiano1,40.334722,15.900555,02/01/2021 10:00,0.42,0.28,133.0,0.12,1.93,898.84,18.65,1.47,2.09,0.4,0.11,71.73,10.88,6.41,0.0,922.02,135.73,102.62,4.41,10.54,0.17,73.73,3.56,0.1
Viggiano1,40.334722,15.900555,02/01/2021 11:00,0.42,0.28,124.0,0.12,1.77,896.0,18.11,1.34,1.68,0.22,0.11,73.16,13.82,9.83,0.0,922.1,46.9,-3.93,4.42,9.29,0.16,81.0,3.73,0.1
Viggiano1,40.334722,15.900555,02/01/2021 12:00,0.42,0.26,154.0,0.12,1.73,891.27,17.76,1.3,1.79,0.32,0.11,77.34,11.51,7.08,0.0,921.49,96.94,63.51,4.47,10.53,0.17,75.91,3.76,0.1
Viggiano1,40.334722,15.900555,02/01/2021 13:00,0.37,0.26,154.0,0.12,2.009,889.61,18.96,1.63,2.12,0.32,0.11,77.34,37.59,16.64,0.0,920.94,56.15,55.53,4.67,10.68,0.16,74.37,3.52,0.1
Viggiano1,40.334722,15.900555,02/01/2021 14:00,0.44,0.25,175.0,0.13,2.009,885.99,19.61,1.78,2.43,0.42,0.12,78.08,36.94,15.84,0.0,920.44,129.6,126.77,5.19,12.36,0.17,65.75,3.8,0.11
Viggiano1,40.334722,15.900555,02/01/2021 15:00,0.41,0.27,196.0,0.12,2.13,888.24,22.76,1.96,2.54,0.38,0.12,80.78,11.27,5.91,0.0,920.65,43.13,14.7,5.18,11.87,0.17,61.98,3.9,0.11
