Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
Melfi,40.983888,15.639722,01/01/2021 01:00,0.3,265.0,8.63,6.11,1.59,75.9,4.46,0.0,948.11,0.19,5.13,5.37,74.22,3.42
Melfi,40.983888,15.639722,01/01/2021 02:00,0.24,265.0,8.4,6.02,1.62,76.23,8.97,0.0,948.09,0.19,5.88,5.82,68.91,3.44
Melfi,40.983888,15.639722,01/01/2021 03:00,0.28,269.0,8.56,6.26,1.78,73.19,5.86,0.0,948.18,0.19,5.0,5.44,68.6,2.77
Melfi,40.983888,15.639722,01/01/2021 04:00,0.24,265.0,8.03,5.97,1.78,78.94,4.88,0.0,948.02,0.19,4.73,6.31,65.22,3.9
Melfi,40.983888,15.639722,01/01/2021 05:00,0.2,279.0,10.84,7.46,1.79,75.39,6.83,0.0,947.91,0.19,4.95,5.96,64.18,3.17
Melfi,40.983888,15.639722,01/01/2021 06:00,0.24,265.0,8.06,6.08,1.87,77.54,6.39,0.0,947.96,0.19,4.83,6.23,58.69,3.72
Melfi,40.983888,15.639722,01/01/2021 07:00,0.2,257.0,6.36,5.12,1.8,82.27,13.18,0.0,948.03,0.19,4.65,6.65,58.7,3.62
Melfi,40.983888,15.639722,01/01/2021 08:00,0.22,246.0,7.42,5.57,1.69,80.17,5.87,0.0,948.48,6.62,4.55,6.46,63.01,3.13
Melfi,40.983888,15.639722,01/01/2021 09:00,0.36,85.0,10.02,7.51,2.27,71.64,11.74,0.0,948.68,30.38,4.83,5.75,69.1,1.48
Melfi,40.983888,15.639722,01/01/2021 10:00,0.3,98.0,7.9,6.18,2.05,77.06,1.19,0.0,948.89,225.86,4.76,8.23,61.78,1.4
Melfi,40.983888,15.639722,01/01/2021 11:00,0.28,19.0,8.25,7.4,3.09,75.54,7.85,0.0,948.94,401.77,5.4,9.69,55.59,1.13
Melfi,40.983888,15.639722,01/01/2021 12:00,0.26,255.0,6.3,5.52,2.23,80.18,8.78,0.0,948.64,426.09,5.53,10.43,52.4,2.72
Melfi,40.983888,15.639722,01/01/2021 13:00,0.28,340.0,6.59,5.56,2.11,80.38,10.3,0.0,947.9,493.97,5.98,11.17,51.72,1.78
Melfi,40.983888,15.639722,01/01/2021 14:00,0.33,222.0,5.62,4.95,2.02,80.53,7.08,0.0,947.49,292.19,5.21,11.04,52.5,1.76
Melfi,40.983888,15.639722,01/01/2021 15:00,0.31,280.0,6.77,5.39,1.85,80.02,9.13,0.0,947.61,122.64,5.96,10.49,57.12,2.49
Melfi,40.983888,15.639722,01/01/2021 16:00,0.27,272.0,6.54,5.33,1.91,69.33,7.38,0.0,947.74,68.91,5.79,9.67,65.7,1.94
Melfi,40.983888,15.639722,01/01/2021 17:00,0.29,182.0,7.92,6.28,2.13,79.63,7.91,0.0,947.91,8.58,6.18,9.36,59.91,1.76
Melfi,40.983888,15.639722,01/01/2021 18:00,0.31,163.0,6.03,5.22,2.07,82.28,7.33,0.0,947.99,0.22,6.3,8.71,64.379,2.76
Melfi,40.983888,15.639722,01/01/2021 19:00,0.4,173.0,7.8,6.21,2.14,77.21,6.41,0.0,948.02,0.23,6.35,7.75,69.46,2.28
Melfi,40.983888,15.639722,01/01/2021 20:00,0.35,174.0,5.98,5.37,2.24,-9999.0,8.33,0.0,948.21,0.27,5.45,8.09,66.93,3.82
Melfi,40.983888,15.639722,01/01/2021 21:00,0.37,163.0,5.57,4.96,2.05,81.29,12.24,0.0,948.3,0.19,5.47,7.68,63.92,3.22
Melfi,40.983888,15.639722,01/01/2021 22:00,0.39,168.0,6.03,5.35,2.19,81.11,19.8,0.0,948.26,0.19,5.41,7.49,62.61,3.43
Melfi,40.983888,15.639722,01/01/2021 23:00,0.29,166.0,5.49,4.7,1.83,82.64,7.77,0.0,948.05,0.19,5.16,7.47,61.95,3.32
Melfi,40.983888,15.639722,02/01/2021 00:00,0.38,157.0,5.38,4.91,2.1,85.37,4.38,0.0,947.8,0.19,5.51,7.56,64.17,3.01
Melfi,40.983888,15.639722,02/01/2021 01:00,0.33,159.0,4.69,3.96,1.5,85.06,5.79,0.0,947.42,0.19,5.59,7.55,67.69,3.87
