Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 03:00,0.33,10.84
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 04:00,0.35,13.81
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 05:00,0.37,17.76
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 06:00,0.43,15.82
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 07:00,0.42,5.34
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 08:00,0.67,11.12
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 09:00,0.99,12.41
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 10:00,1.2,13.68
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 11:00,0.73,22.07
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 12:00,0.51,26.71
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 13:00,0.46,23.04
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 14:00,0.49,22.31
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 15:00,0.43,24.96
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 16:00,0.48,24.84
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 17:00,0.59,23.05
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 18:00,0.72,28.15
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 19:00,0.73,20.32
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 20:00,0.64,18.94
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 21:00,0.67,17.13
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 22:00,0.81,6.37
Potenza_viale_Firenze,40.313888,15.904444,04/01/2022 23:00,0.65,10.0
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 00:00,0.52,18.0
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 01:00,0.42,13.01
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 02:00,0.42,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 03:00,0.36,20.17
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 04:00,0.33,17.47
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 05:00,0.3,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 06:00,0.39,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 07:00,0.65,15.62
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 08:00,1.05,9.44
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 09:00,2.12,12.83
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 10:00,0.97,10.93
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 11:00,0.57,15.24
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 12:00,0.57,10.63
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 13:00,0.5,11.13
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 14:00,0.44,11.72
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 15:00,0.43,16.02
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 16:00,0.43,17.94
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 17:00,0.5,8.24
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 18:00,0.53,14.22
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 19:00,0.57,14.1
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 20:00,0.63,16.91
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 21:00,0.45,30.77
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 22:00,0.36,23.67
Potenza_viale_Firenze,40.313888,15.904444,05/01/2022 23:00,0.32,15.87
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 00:00,0.3,34.56
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 01:00,0.3,29.06
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 02:00,0.29,17.13
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 03:00,0.28,15.34
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 04:00,0.27,14.0
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 05:00,0.27,15.19
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 06:00,0.26,10.66
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 07:00,0.29,9.05
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 08:00,0.29,15.83
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 09:00,0.34,12.43
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 10:00,0.39,17.42
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 11:00,0.38,14.87
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 12:00,0.48,10.61
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 13:00,0.46,10.67
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 14:00,0.45,8.33
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 15:00,0.4,6.69
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 16:00,0.39,9.83
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 17:00,0.43,12.95
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 18:00,0.46,16.42
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 19:00,0.4,12.78
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 20:00,0.44,8.38
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 21:00,0.37,7.74
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 22:00,0.36,8.47
Potenza_viale_Firenze,40.313888,15.904444,06/01/2022 23:00,0.32,19.3
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 00:00,0.29,36.03
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 01:00,0.28,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 02:00,0.28,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 03:00,0.27,13.59
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 04:00,0.28,17.47
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 05:00,0.27,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 06:00,0.32,10.05
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 07:00,0.44,11.3
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 08:00,0.77,13.08
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 09:00,0.92,13.56
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 10:00,0.99,19.66
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 11:00,0.63,20.63
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 12:00,0.77,17.73
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 13:00,0.94,15.87
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 14:00,0.83,14.04
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 15:00,0.97,13.29
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 16:00,0.75,19.16
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 17:00,0.82,27.32
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 18:00,0.88,22.29
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 19:00,0.83,18.62
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 20:00,0.72,13.66
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 21:00,0.69,18.6
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 22:00,0.62,19.82
Potenza_viale_Firenze,40.313888,15.904444,07/01/2022 23:00,0.5,21.67
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 00:00,0.47,20.32
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 01:00,0.46,20.1
