Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (ppb),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Viggiano,40.313888,15.904444,01/01/2021 01:00,1.84,0.41,43.72,0.1,3.07,0.01,2.17,0.21,3.01,2.62,1.55,0.02,39.34,0.05,10.59,0.0,944.41,1.75,6.96,1.4,0.88,91.15,0.92
Viggiano,40.313888,15.904444,01/01/2021 02:00,2.15,0.36,45.86,0.12,3.7,0.02,2.09,0.19,2.04,2.2,1.63,0.03,42.92,0.1,11.1,0.0,944.43,1.97,6.67,1.5,0.96,91.22,1.16
Viggiano,40.313888,15.904444,01/01/2021 03:00,1.78,0.3,22.35,0.09,2.11,0.01,1.96,0.17,0.6,1.34,1.57,0.01,45.71,0.07,0.07,0.0,944.61,1.8,8.75,1.41,0.69,89.53,0.88
Viggiano,40.313888,15.904444,01/01/2021 04:00,1.24,0.23,317.12,0.05,3.49,0.02,1.95,0.17,0.14,1.05,1.67,0.0,48.39,0.02,9.99,0.0,944.63,1.82,5.73,1.27,0.47,90.52,1.35
Viggiano,40.313888,15.904444,01/01/2021 05:00,0.96,0.25,2.13,0.04,3.13,0.01,2.06,0.19,1.99,2.08,1.55,0.02,46.11,0.06,6.02,0.0,944.44,1.68,6.49,1.5,0.47,89.92,1.15
Viggiano,40.313888,15.904444,01/01/2021 06:00,1.02,0.28,359.53,0.06,3.93,0.01,1.96,0.17,0.91,1.87,1.9,0.01,43.55,0.05,6.78,0.0,944.56,1.61,6.06,0.98,0.47,89.8,0.68
Viggiano,40.313888,15.904444,01/01/2021 07:00,0.96,0.26,359.57,0.03,2.66,0.01,2.05,0.18,2.6,2.75,1.89,0.01,39.86,0.01,13.32,0.0,944.8,1.88,6.9,0.48,0.36,92.75,0.99
Viggiano,40.313888,15.904444,01/01/2021 08:00,1.05,0.24,314.56,0.08,2.63,0.03,2.04,0.19,3.42,3.57,2.29,0.02,33.98,0.02,10.51,0.0,945.09,17.89,8.52,0.27,0.55,91.77,0.82
Viggiano,40.313888,15.904444,01/01/2021 09:00,1.01,0.2,45.33,0.08,2.97,0.04,2.11,0.19,2.45,3.0,2.22,0.02,36.05,0.05,17.59,0.0,945.31,104.92,6.07,2.66,0.52,83.67,1.07
Viggiano,40.313888,15.904444,01/01/2021 10:00,1.05,0.17,202.76,0.07,3.38,0.01,2.07,0.19,4.0,4.46,2.87,0.02,47.34,0.02,-9999.0,0.0,945.28,223.52,7.12,6.9,0.39,68.1,0.98
Viggiano,40.313888,15.904444,01/01/2021 11:00,1.16,0.18,314.94,0.04,2.86,0.01,2.07,0.19,3.27,4.13,2.92,0.01,55.2,0.03,-9999.0,0.0,945.12,317.83,7.99,9.17,0.42,63.65,1.69
Viggiano,40.313888,15.904444,01/01/2021 12:00,1.19,0.15,224.39,0.04,3.25,0.01,1.98,0.17,1.86,2.25,1.79,0.01,61.16,0.01,-9999.0,0.0,944.7,149.23,7.08,9.37,0.34,64.129,1.42
Viggiano,40.313888,15.904444,01/01/2021 13:00,0.97,0.12,223.76,0.02,2.59,0.01,1.93,0.17,2.43,2.98,2.23,0.0,68.57,0.01,-9999.0,0.0,944.09,223.16,7.45,9.3,0.23,65.54,2.81
Viggiano,40.313888,15.904444,01/01/2021 14:00,0.92,0.12,134.9,0.02,3.33,0.01,1.91,0.17,0.25,1.42,1.97,0.01,71.76,0.0,-9999.0,0.0,943.66,134.81,6.52,9.45,0.17,64.3,2.54
Viggiano,40.313888,15.904444,01/01/2021 15:00,0.94,0.13,112.3,0.02,2.34,0.01,1.9,0.17,0.11,1.32,1.93,0.01,73.19,0.0,-9999.0,0.0,943.51,206.52,7.41,10.31,0.15,61.53,2.9
Viggiano,40.313888,15.904444,01/01/2021 16:00,0.86,0.13,179.68,0.01,2.4,0.0,1.9,0.17,0.11,0.87,1.52,0.0,73.26,0.01,-9999.0,0.0,943.62,49.4,8.46,9.11,0.12,67.4,3.1
Viggiano,40.313888,15.904444,01/01/2021 17:00,0.91,0.15,136.09,0.01,2.34,0.0,1.9,0.18,0.35,1.35,1.78,0.0,66.16,0.01,-9999.0,0.0,943.79,5.83,7.35,7.24,0.14,78.18,0.95
Viggiano,40.313888,15.904444,01/01/2021 18:00,1.22,0.29,24.67,0.02,3.85,0.02,1.92,0.19,-9999.0,-9999.0,-9999.0,0.01,52.29,0.05,-9999.0,0.0,943.98,1.77,5.77,5.2,0.36,84.79,1.47
Viggiano,40.313888,15.904444,01/01/2021 19:00,1.24,0.27,23.7,0.06,3.49,0.01,1.92,0.18,1.75,2.3,1.89,0.01,50.45,0.02,-9999.0,0.0,944.12,1.87,6.03,4.13,0.41,84.27,1.52
Viggiano,40.313888,15.904444,01/01/2021 20:00,1.3,0.23,23.0,0.05,3.47,0.01,1.93,0.17,0.62,1.65,1.85,0.01,49.86,0.04,-9999.0,0.0,944.35,1.69,6.39,3.64,0.34,82.27,1.8
Viggiano,40.313888,15.904444,01/01/2021 21:00,1.36,0.16,44.98,0.04,3.86,0.01,1.92,0.17,0.47,1.65,1.92,0.01,45.27,0.01,-9999.0,0.0,944.38,1.81,6.05,3.12,0.3,86.27,1.29
Viggiano,40.313888,15.904444,01/01/2021 22:00,0.97,0.18,134.22,0.02,3.33,0.0,1.93,0.17,0.48,1.58,1.87,0.0,45.67,0.01,5.45,0.0,944.33,1.9,6.02,3.32,0.19,88.75,1.9
Viggiano,40.313888,15.904444,01/01/2021 23:00,1.1,0.18,43.56,0.02,3.18,0.0,1.93,0.18,0.66,1.58,1.75,0.01,42.36,0.01,20.22,0.0,944.38,1.75,6.18,3.63,0.23,91.5,0.87
Viggiano,40.313888,15.904444,02/01/2021 00:00,1.03,0.27,44.04,0.01,2.19,0.01,2.029,0.19,2.26,2.33,1.65,0.0,28.17,0.01,9.5,0.0,944.08,1.67,7.82,2.82,0.24,93.75,0.84
Viggiano,40.313888,15.904444,02/01/2021 01:00,1.2,0.3,45.16,0.04,2.8,0.01,1.99,0.18,1.56,1.97,1.66,0.01,26.52,0.03,10.42,0.0,943.71,1.69,6.44,1.43,0.42,95.66,0.72
Viggiano,40.313888,15.904444,02/01/2021 02:00,1.2,0.21,359.15,0.07,3.16,0.02,1.94,0.17,0.57,1.42,1.68,0.01,33.05,0.07,9.58,0.0,943.68,1.68,6.46,0.75,0.48,96.24,0.61
Viggiano,40.313888,15.904444,02/01/2021 03:00,0.9,0.2,340.13,0.02,2.72,0.01,1.95,0.17,0.57,1.39,1.63,0.01,33.58,0.02,3.75,0.0,943.59,1.88,6.56,0.48,0.31,96.84,0.93
Viggiano,40.313888,15.904444,02/01/2021 04:00,0.89,0.2,2.91,0.04,2.58,0.01,2.02,0.18,0.85,1.46,1.55,0.01,31.97,0.03,7.85,0.0,942.96,1.89,7.78,1.16,0.34,96.94,1.14
Viggiano,40.313888,15.904444,02/01/2021 05:00,0.94,0.23,155.47,0.03,3.1,0.0,2.02,0.19,1.06,1.34,1.3,0.01,27.24,0.03,14.43,0.0,942.48,1.6,5.56,1.58,0.32,96.6,0.69
Viggiano,40.313888,15.904444,02/01/2021 06:00,1.2,0.23,68.13,0.06,3.43,0.01,2.0,0.18,1.23,1.9,1.79,0.0,36.68,0.02,-9999.0,1.0,942.16,1.85,6.28,2.84,0.36,95.65,1.07
Viggiano,40.313888,15.904444,02/01/2021 07:00,1.03,0.24,224.03,0.02,3.31,0.01,2.11,0.19,3.07,3.1,2.0,0.01,31.39,0.01,8.62,0.2,942.02,1.66,6.65,3.15,0.29,95.96,0.81
Viggiano,40.313888,15.904444,02/01/2021 08:00,1.45,0.23,23.46,0.03,3.37,0.01,2.15,0.21,3.02,3.16,2.08,0.0,35.95,0.04,9.57,0.4,942.15,13.07,7.05,3.96,0.35,96.74,1.02
Viggiano,40.313888,15.904444,02/01/2021 09:00,1.25,0.18,-9999.0,0.07,3.42,0.02,2.1,0.21,3.97,3.69,2.11,0.0,43.87,0.07,3.42,0.0,942.01,99.0,7.16,6.35,0.5,88.54,-9999.0
Viggiano,40.313888,15.904444,02/01/2021 10:00,1.09,0.15,136.32,0.05,3.42,0.01,1.95,0.19,1.5,2.04,1.76,0.01,55.29,0.03,12.4,0.0,941.78,101.77,7.19,7.74,0.34,81.77,2.06
Viggiano,40.313888,15.904444,02/01/2021 11:00,1.02,0.15,90.71,0.03,2.91,0.0,1.94,0.19,1.61,2.17,1.83,0.01,58.5,0.02,19.66,0.0,941.8,35.64,8.1,7.6,0.26,85.4,3.05
Viggiano,40.313888,15.904444,02/01/2021 12:00,0.93,0.15,90.95,0.01,2.57,0.01,1.87,0.18,0.28,1.34,1.86,0.01,73.61,0.01,25.07,0.0,940.96,73.17,9.32,9.74,0.19,73.65,4.01
Viggiano,40.313888,15.904444,02/01/2021 13:00,0.92,0.13,111.64,0.01,2.62,0.01,1.87,0.18,0.31,1.2,1.64,0.0,74.09,0.0,6.31,0.0,940.37,67.58,8.05,10.21,0.12,71.9,3.79
Viggiano,40.313888,15.904444,02/01/2021 14:00,0.96,0.1,179.47,0.01,2.86,0.01,1.87,0.17,0.32,1.15,1.61,0.0,78.02,0.01,4.57,0.0,939.65,146.52,9.62,11.95,0.13,63.33,3.46
Viggiano,40.313888,15.904444,02/01/2021 15:00,0.95,0.12,156.69,0.01,3.16,0.01,1.87,0.17,0.34,1.28,1.72,0.01,80.56,0.01,-9999.0,0.0,939.99,56.9,8.4,11.86,0.12,59.55,3.45
Viggiano,40.313888,15.904444,02/01/2021 16:00,0.94,0.15,247.84,0.01,4.08,0.0,1.9,0.21,8.83,8.21,4.12,0.01,70.66,0.0,-9999.0,2.0,941.38,3.3,8.18,8.29,0.13,76.6,3.35
Viggiano,40.313888,15.904444,02/01/2021 17:00,0.88,0.11,90.28,0.01,2.08,0.01,1.87,0.17,-9999.0,-9999.0,-9999.0,0.0,78.56,0.01,8.77,0.2,941.62,8.46,7.82,6.36,0.21,89.5,2.02
Viggiano,40.313888,15.904444,02/01/2021 18:00,0.86,0.16,44.98,0.0,2.41,0.01,1.88,0.17,1.18,1.66,1.55,0.0,70.36,0.01,7.43,0.0,941.62,1.52,7.44,6.22,0.11,89.03,1.3
Viggiano,40.313888,15.904444,02/01/2021 19:00,1.02,0.15,134.2,0.02,2.92,0.01,1.89,0.18,1.6,2.03,1.69,0.0,60.38,0.01,-9999.0,0.0,941.87,1.47,7.12,5.91,0.17,92.72,1.22
Viggiano,40.313888,15.904444,02/01/2021 20:00,1.18,0.22,44.83,0.05,3.12,0.02,1.91,0.18,2.41,2.44,1.69,0.01,56.24,0.04,-9999.0,0.0,942.01,1.6,6.77,5.45,0.38,93.99,1.04
Viggiano,40.313888,15.904444,02/01/2021 21:00,1.46,0.38,317.72,0.02,3.19,0.01,1.95,0.2,3.77,3.43,1.96,0.01,42.71,0.05,-9999.0,0.0,942.08,1.7,7.08,4.34,0.41,94.52,0.95
Viggiano,40.313888,15.904444,02/01/2021 22:00,1.91,0.49,340.33,0.09,2.74,0.04,2.0,0.2,3.76,3.34,1.87,0.02,34.02,0.08,6.23,0.0,942.39,1.67,8.32,3.2,0.7,96.16,0.85
Viggiano,40.313888,15.904444,02/01/2021 23:00,1.77,0.28,25.25,0.1,2.66,0.05,1.94,0.18,1.14,1.71,1.61,0.01,42.43,0.06,7.03,0.0,942.55,1.74,6.76,2.62,0.76,97.93,1.26
Viggiano,40.313888,15.904444,03/01/2021 00:00,1.16,0.26,0.2,0.05,2.009,0.01,1.94,0.18,0.75,1.54,1.66,0.01,42.66,0.01,11.42,0.0,942.17,1.75,7.79,2.009,0.34,98.31,0.74
Viggiano,40.313888,15.904444,03/01/2021 01:00,1.2,0.28,0.29,0.01,2.89,0.0,1.97,0.19,1.72,2.11,1.71,0.01,36.07,0.02,9.3,0.0,941.97,2.0,7.36,2.28,0.33,99.08,1.17
Viggiano,40.313888,15.904444,03/01/2021 02:00,1.37,0.25,66.27,0.04,2.47,0.01,2.02,0.2,1.83,2.1,1.64,0.01,35.79,0.07,11.65,0.0,942.01,1.49,7.6,2.68,0.55,99.31,1.18
Viggiano,40.313888,15.904444,03/01/2021 03:00,1.32,0.2,23.91,0.06,3.55,0.01,2.0,0.2,1.75,2.22,1.81,0.0,44.32,0.02,12.79,0.0,942.15,1.97,6.68,3.74,0.47,99.11,1.77
Viggiano,40.313888,15.904444,03/01/2021 04:00,1.15,0.15,314.99,0.02,3.59,0.02,1.92,0.19,1.27,1.65,1.49,0.0,60.36,0.04,-9999.0,0.0,941.81,1.98,6.99,5.09,0.39,92.46,1.21
Viggiano,40.313888,15.904444,03/01/2021 05:00,0.94,0.2,292.98,0.02,3.75,0.01,2.13,0.22,6.43,4.86,2.0,0.01,40.07,0.03,13.15,0.0,941.45,1.83,5.94,4.8,0.27,90.38,1.5
Viggiano,40.313888,15.904444,03/01/2021 06:00,1.13,0.16,315.56,0.07,2.47,0.02,2.0,0.2,5.26,4.49,2.25,0.01,60.3,0.08,13.49,1.0,941.7,1.8,8.35,5.74,0.49,86.93,2.21
Viggiano,40.313888,15.904444,03/01/2021 07:00,0.88,0.14,0.21,0.01,3.32,0.01,1.91,0.18,1.6,1.96,1.63,0.01,73.29,0.01,34.24,0.4,942.26,1.65,7.59,5.23,0.22,88.28,2.2
Viggiano,40.313888,15.904444,03/01/2021 08:00,0.86,0.16,91.09,0.01,2.07,0.01,1.92,0.18,1.33,1.79,1.6,0.01,61.7,0.02,0.33,1.4,942.55,3.05,9.18,4.44,0.16,93.51,1.24
Viggiano,40.313888,15.904444,03/01/2021 09:00,0.84,0.15,0.71,0.01,3.25,0.0,1.92,0.18,0.94,1.74,1.75,0.01,55.84,0.01,-9999.0,0.2,942.97,48.44,6.98,4.31,0.17,97.17,1.09
Viggiano,40.313888,15.904444,03/01/2021 10:00,0.99,0.15,223.36,0.01,3.7,0.01,1.93,0.2,1.94,2.36,1.85,0.0,60.84,0.01,30.01,0.0,943.14,220.02,7.19,6.89,0.2,91.96,0.99
Viggiano,40.313888,15.904444,03/01/2021 11:00,1.11,0.14,133.83,0.03,3.18,0.01,1.95,0.21,3.92,3.81,2.26,0.01,62.03,0.01,33.3,0.0,942.86,116.75,8.13,8.74,0.32,78.12,1.39
Viggiano,40.313888,15.904444,03/01/2021 12:00,1.0,0.1,135.56,0.03,2.82,0.01,1.9,0.18,0.77,1.62,1.77,0.01,69.59,0.03,40.57,0.0,942.83,37.98,7.61,6.8,0.31,77.91,2.69
Viggiano,40.313888,15.904444,03/01/2021 13:00,0.88,0.07,315.93,0.01,3.13,0.01,1.9,0.19,1.92,2.33,1.9,0.01,73.44,0.01,24.35,1.4,943.12,39.06,6.62,5.46,0.17,83.2,2.72
Viggiano,40.313888,15.904444,03/01/2021 14:00,0.83,0.07,335.64,0.01,2.68,0.01,1.89,0.17,0.69,1.62,1.77,0.01,80.75,0.01,15.15,0.2,942.68,86.5,7.26,5.76,0.16,80.96,2.41
Viggiano,40.313888,15.904444,03/01/2021 15:00,0.88,0.04,316.59,0.02,3.48,0.01,1.89,0.17,0.69,1.49,1.67,0.0,78.08,0.01,13.66,0.2,942.81,71.31,6.83,6.7,0.16,78.68,1.68
Viggiano,40.313888,15.904444,03/01/2021 16:00,0.9,0.12,0.56,0.03,2.85,0.01,1.9,0.18,-9999.0,-9999.0,-9999.0,0.01,72.04,0.01,15.97,0.2,942.83,29.14,6.95,6.18,0.17,83.19,1.74
Viggiano,40.313888,15.904444,03/01/2021 17:00,1.23,0.19,358.83,0.04,2.35,0.01,1.96,0.21,2.72,2.83,1.91,0.0,66.01,0.01,15.09,0.8,943.58,20.54,9.94,5.27,0.27,86.28,1.9
Viggiano,40.313888,15.904444,03/01/2021 18:00,1.27,0.29,24.92,0.04,2.79,0.01,1.93,0.19,1.88,2.17,1.69,0.01,60.33,0.05,16.33,0.0,943.75,1.89,6.21,3.91,0.4,89.88,1.55
Viggiano,40.313888,15.904444,03/01/2021 19:00,1.81,0.2,22.02,0.13,2.71,0.06,1.92,0.17,0.96,1.47,1.47,0.05,58.21,0.15,11.91,0.0,944.01,1.87,7.85,3.12,0.96,90.33,2.27
Viggiano,40.313888,15.904444,03/01/2021 20:00,1.14,0.25,22.42,0.05,2.63,0.01,1.92,0.17,0.75,1.55,1.66,0.01,55.36,0.01,17.03,0.0,944.01,1.79,6.89,2.66,0.31,89.63,1.58
Viggiano,40.313888,15.904444,03/01/2021 21:00,1.44,0.35,335.43,0.06,2.87,0.01,2.13,0.21,5.02,4.12,2.0,0.01,43.45,0.03,16.73,0.0,943.7,2.14,7.12,2.0,0.41,92.8,1.16
Viggiano,40.313888,15.904444,03/01/2021 22:00,1.94,0.44,134.8,0.11,2.56,0.03,2.15,0.22,6.06,4.79,2.12,0.04,38.31,0.1,12.22,0.0,943.56,1.92,7.87,1.52,0.82,94.36,1.33
Viggiano,40.313888,15.904444,03/01/2021 23:00,2.12,0.42,294.32,0.12,2.84,0.03,2.06,0.22,4.53,3.43,1.56,0.03,46.84,0.06,10.96,0.0,943.72,2.04,8.49,2.13,0.85,91.19,2.02
Viggiano,40.313888,15.904444,04/01/2021 00:00,1.95,0.22,313.44,0.11,3.64,0.04,1.94,0.18,0.91,1.54,1.58,0.01,72.77,0.09,12.22,0.0,943.6,1.91,7.48,4.55,0.78,74.89,3.69
Viggiano,40.313888,15.904444,04/01/2021 01:00,0.94,0.2,315.15,0.02,3.41,0.02,1.92,0.17,0.47,1.23,1.55,0.01,75.3,0.02,12.18,2.6,943.71,1.93,6.65,3.66,0.26,86.14,4.23
Viggiano,40.313888,15.904444,04/01/2021 02:00,0.84,0.2,134.3,0.01,2.37,0.01,1.9,0.16,0.17,1.5,2.08,0.0,71.03,0.01,9.54,1.6,943.06,1.8,7.48,2.26,0.16,94.44,2.43
Viggiano,40.313888,15.904444,04/01/2021 03:00,0.83,0.22,316.77,0.01,3.2,0.0,1.93,0.17,0.61,1.15,1.35,0.01,66.77,0.0,4.63,0.0,942.34,2.14,6.62,1.73,0.14,96.99,1.55
Viggiano,40.313888,15.904444,04/01/2021 04:00,0.82,0.23,48.49,0.01,2.16,0.01,1.95,0.17,1.53,1.85,1.55,0.01,58.74,0.01,-9999.0,0.0,942.03,2.09,7.17,1.42,0.19,97.53,0.82
Viggiano,40.313888,15.904444,04/01/2021 05:00,0.79,0.2,45.36,0.01,2.45,0.01,1.97,0.17,1.13,1.5,1.42,0.0,49.61,0.01,-9999.0,0.0,941.41,1.73,7.27,0.75,0.22,97.55,0.78
Viggiano,40.313888,15.904444,04/01/2021 06:00,0.79,0.17,22.9,0.01,2.56,0.01,2.02,0.17,2.17,2.42,1.79,0.01,48.52,0.01,-9999.0,0.0,941.55,1.88,7.06,0.82,0.25,98.29,1.1
Viggiano,40.313888,15.904444,04/01/2021 07:00,0.78,0.18,134.17,0.01,2.96,0.01,2.0,0.17,1.61,1.88,1.55,0.01,49.12,0.02,-9999.0,0.0,941.17,2.12,7.49,0.83,0.25,98.63,1.47
Viggiano,40.313888,15.904444,04/01/2021 08:00,0.85,0.23,358.53,0.03,2.47,0.01,2.0,0.18,3.04,2.94,1.85,0.01,44.96,0.01,-9999.0,0.0,941.4,8.64,7.92,0.72,0.23,98.93,0.86
Viggiano,40.313888,15.904444,04/01/2021 09:00,0.96,0.2,246.34,0.06,3.67,0.03,2.06,0.19,10.09,8.02,3.25,0.02,31.92,0.07,-9999.0,0.0,941.65,53.37,5.0,1.27,0.47,98.99,1.08
Viggiano,40.313888,15.904444,04/01/2021 10:00,1.06,0.29,314.29,0.05,3.14,0.03,2.16,0.2,12.3,11.82,5.9,0.01,31.56,0.09,-9999.0,0.0,941.46,112.37,6.28,2.59,0.61,98.48,1.04
Viggiano,40.313888,15.904444,04/01/2021 11:00,1.38,0.32,201.43,0.09,2.86,0.06,2.14,0.22,9.11,8.57,4.31,0.02,38.78,0.11,-9999.0,0.0,941.19,197.94,7.7,4.74,0.77,93.74,1.29
Viggiano,40.313888,15.904444,04/01/2021 12:00,1.65,0.28,156.98,0.13,2.029,0.06,2.05,0.2,4.71,4.59,2.63,0.04,52.99,0.17,-9999.0,0.0,940.56,283.87,9.97,6.81,0.91,81.24,0.94
Viggiano,40.313888,15.904444,04/01/2021 13:00,1.44,0.22,223.13,0.11,3.43,0.06,1.93,0.19,7.18,7.73,4.47,0.05,63.27,0.13,-9999.0,0.0,939.88,215.08,9.04,7.98,0.67,68.28,3.62
Viggiano,40.313888,15.904444,04/01/2021 14:00,1.05,0.21,224.29,0.06,4.03,0.04,1.91,0.17,4.6,5.33,3.42,0.02,65.07,0.07,-9999.0,0.2,939.46,255.91,6.25,8.53,0.31,64.93,3.59
Viggiano,40.313888,15.904444,04/01/2021 15:00,0.98,0.31,225.2,0.03,2.96,0.0,1.91,0.18,-9999.0,-9999.0,-9999.0,0.01,59.52,0.02,-9999.0,0.0,939.61,189.19,9.12,8.34,0.25,66.16,4.29
Viggiano,40.313888,15.904444,04/01/2021 16:00,0.94,0.23,224.06,0.01,2.77,0.01,1.91,0.17,9.15,9.41,5.13,0.01,63.37,0.01,-9999.0,0.0,939.91,143.93,9.77,8.72,0.22,62.05,3.97
Viggiano,40.313888,15.904444,04/01/2021 17:00,0.94,0.25,314.1,0.01,3.22,0.01,1.93,0.17,3.0,3.04,1.97,0.0,70.85,0.01,-9999.0,0.0,940.41,10.35,7.42,6.94,0.28,67.89,3.56
Viggiano,40.313888,15.904444,04/01/2021 18:00,1.0,0.3,223.74,0.02,3.42,0.01,1.95,0.17,6.23,4.98,2.22,0.01,62.82,0.02,-9999.0,0.0,940.81,1.64,6.24,6.46,0.3,70.54,2.13
Viggiano,40.313888,15.904444,04/01/2021 19:00,1.05,0.27,223.99,0.03,3.4,0.01,1.93,0.17,3.33,3.52,2.28,0.01,70.61,0.03,-9999.0,0.0,941.37,1.62,6.12,5.63,0.37,78.52,3.62
Viggiano,40.313888,15.904444,04/01/2021 20:00,0.97,0.26,44.43,0.01,3.7,0.01,1.93,0.18,2.61,2.54,1.67,0.01,65.19,0.01,-9999.0,0.0,941.63,1.82,6.27,5.09,0.21,80.52,1.17
Viggiano,40.313888,15.904444,04/01/2021 21:00,1.13,0.3,45.31,0.04,2.82,0.01,1.95,0.17,3.71,3.45,2.01,0.02,56.05,0.03,-9999.0,0.0,942.0,1.83,7.82,4.83,0.37,80.83,1.25
Viggiano,40.313888,15.904444,04/01/2021 22:00,1.35,0.32,23.38,0.06,2.38,0.01,1.96,0.18,4.78,4.36,2.37,0.01,51.63,0.02,-9999.0,0.0,942.18,1.64,7.65,3.72,0.42,83.34,0.88
Viggiano,40.313888,15.904444,04/01/2021 23:00,1.48,0.38,45.36,0.04,2.06,0.01,1.98,0.18,2.14,2.07,1.45,0.01,45.8,0.05,-9999.0,0.0,942.33,1.7,8.82,2.23,0.44,88.08,0.93
Viggiano,40.313888,15.904444,05/01/2021 00:00,1.54,0.35,44.68,0.08,3.01,0.01,1.99,0.18,1.99,2.19,1.65,0.01,54.92,0.04,-9999.0,0.0,942.38,1.8,7.25,2.61,0.52,85.74,0.68
Viggiano,40.313888,15.904444,05/01/2021 01:00,1.25,0.35,66.42,0.07,3.43,0.02,1.99,0.18,1.62,1.86,1.52,0.01,52.08,0.04,-9999.0,0.0,942.55,1.88,7.65,2.54,0.45,83.93,0.87
Viggiano,40.313888,15.904444,05/01/2021 02:00,1.28,0.35,45.23,0.06,3.29,0.01,2.0,0.18,1.42,1.85,1.61,0.01,45.82,0.03,-9999.0,0.0,942.79,2.0,7.41,1.58,0.43,87.71,1.01
Viggiano,40.313888,15.904444,05/01/2021 03:00,1.21,0.32,315.61,0.07,2.71,0.01,1.99,0.18,1.1,1.65,1.62,0.0,42.9,0.04,-9999.0,0.0,943.1,1.89,7.52,1.07,0.44,90.62,1.08
Viggiano,40.313888,15.904444,05/01/2021 04:00,1.11,0.38,114.65,0.07,2.27,0.02,2.11,0.21,3.8,3.22,1.74,0.0,36.8,0.05,-9999.0,0.0,943.01,2.1,8.29,1.5,0.45,91.22,0.92
Viggiano,40.313888,15.904444,05/01/2021 05:00,1.33,0.33,358.46,0.08,2.81,0.02,2.04,0.18,1.31,1.54,1.36,0.01,42.92,0.07,-9999.0,0.0,942.76,1.95,6.8,1.77,0.58,92.01,0.73
Viggiano,40.313888,15.904444,05/01/2021 06:00,1.07,0.3,340.32,0.07,2.82,0.02,2.009,0.19,2.36,2.23,1.5,0.01,36.48,0.05,-9999.0,0.0,942.77,1.86,5.9,1.43,0.44,92.56,1.07
Viggiano,40.313888,15.904444,05/01/2021 07:00,0.99,0.28,-9999.0,0.08,2.84,0.02,1.99,0.18,4.49,4.08,2.23,0.02,28.79,0.08,-9999.0,0.0,942.99,1.98,6.45,1.38,0.5,94.21,-9999.0
Viggiano,40.313888,15.904444,05/01/2021 08:00,0.9,0.31,359.86,0.07,3.14,0.02,2.0,0.18,8.41,7.08,3.19,0.01,20.16,0.05,-9999.0,0.0,943.13,17.79,6.52,1.42,0.4,94.58,0.68
Viggiano,40.313888,15.904444,05/01/2021 09:00,1.41,0.42,201.66,0.07,2.5,0.05,2.24,0.22,12.13,13.05,7.22,0.03,21.95,0.1,-9999.0,0.0,943.38,61.16,8.17,2.99,0.62,90.76,0.74
Viggiano,40.313888,15.904444,05/01/2021 10:00,1.54,0.41,338.4,0.11,3.06,0.04,2.25,0.22,10.04,8.6,3.87,0.05,29.0,0.12,-9999.0,0.4,943.63,78.62,7.41,3.56,0.78,92.04,1.43
Viggiano,40.313888,15.904444,05/01/2021 11:00,1.83,0.36,1.55,0.08,3.11,0.05,2.02,0.21,6.62,5.86,2.9,0.03,49.98,0.11,-9999.0,0.0,943.31,108.44,8.87,5.96,1.09,86.78,1.63
Viggiano,40.313888,15.904444,05/01/2021 12:00,1.65,0.36,336.42,0.08,3.86,0.04,2.12,0.22,7.37,6.07,2.72,0.03,41.41,0.1,-9999.0,0.2,942.93,112.55,6.82,6.1,0.77,91.08,0.89
Viggiano,40.313888,15.904444,05/01/2021 13:00,1.57,0.33,180.17,0.1,3.34,0.05,1.96,0.18,2.82,2.66,1.69,0.03,65.97,0.1,-9999.0,1.2,942.67,94.32,6.05,6.11,0.76,85.9,2.17
Viggiano,40.313888,15.904444,05/01/2021 14:00,1.19,0.3,67.84,0.04,3.37,0.02,1.91,0.17,-9999.0,-9999.0,-9999.0,0.01,72.89,0.01,-9999.0,0.4,942.13,111.92,6.33,6.46,0.29,82.96,1.45
Viggiano,40.313888,15.904444,05/01/2021 15:00,-9999.0,0.32,135.11,-9999.0,3.31,-9999.0,1.91,0.18,-9999.0,-9999.0,-9999.0,-9999.0,73.48,-9999.0,-9999.0,0.4,942.07,77.85,7.21,6.85,-9999.0,81.85,2.65
Viggiano,40.313888,15.904444,05/01/2021 16:00,-9999.0,0.37,337.53,-9999.0,2.94,-9999.0,-9999.0,-9999.0,1.82,1.91,1.46,-9999.0,75.43,-9999.0,-9999.0,0.0,941.95,43.75,8.6,7.01,-9999.0,77.06,3.17
Viggiano,40.313888,15.904444,05/01/2021 17:00,-9999.0,0.37,358.14,-9999.0,2.55,-9999.0,1.91,0.18,2.64,2.94,2.06,-9999.0,75.4,-9999.0,-9999.0,0.0,942.04,15.26,9.71,7.21,-9999.0,70.84,2.98
