Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
La_Martella,40.686388,16.546944,01/01/2021 01:00,1.07,0.53,48.0,0.01,0.01,2.23,0.24,4.65,2.74,0.31,0.01,42.31,0.02,0.0,983.76,0.14,3.77,2.59,0.57,99.76,2.34
La_Martella,40.686388,16.546944,01/01/2021 02:00,1.3,0.55,51.0,0.02,0.02,2.29,0.25,5.06,2.96,0.33,0.01,36.98,0.02,0.0,983.91,0.14,4.99,2.009,0.69,99.81,2.4
La_Martella,40.686388,16.546944,01/01/2021 03:00,1.38,0.57,48.0,0.01,0.01,2.29,0.24,4.62,2.65,0.24,0.01,37.16,0.01,0.0,984.18,0.14,5.5,1.73,0.75,99.82,2.33
La_Martella,40.686388,16.546944,01/01/2021 04:00,1.34,0.56,50.0,0.02,0.01,2.36,0.25,4.6,2.67,0.28,0.02,33.8,0.02,0.0,984.1,0.17,4.64,1.41,0.74,99.82,2.48
La_Martella,40.686388,16.546944,01/01/2021 05:00,1.35,0.59,52.0,0.02,0.01,2.35,0.25,4.71,2.56,0.15,0.01,31.89,0.05,0.0,984.15,0.14,5.26,1.03,0.78,99.82,2.34
La_Martella,40.686388,16.546944,01/01/2021 06:00,1.3,0.58,49.0,0.02,0.01,2.4,0.23,4.24,2.52,0.33,0.02,33.13,0.03,0.0,984.19,0.13,4.67,0.91,0.79,99.83,2.48
La_Martella,40.686388,16.546944,01/01/2021 07:00,1.2,0.54,50.0,0.02,0.01,2.43,0.23,3.95,2.3,0.25,0.01,33.63,0.02,0.0,984.47,0.14,5.65,0.86,0.81,99.83,2.37
La_Martella,40.686388,16.546944,01/01/2021 08:00,1.14,0.56,49.0,0.02,0.01,2.41,0.23,3.77,2.32,0.36,0.01,35.92,0.02,0.0,984.8,6.07,5.74,1.01,0.74,99.83,1.53
La_Martella,40.686388,16.546944,01/01/2021 09:00,1.06,0.54,67.0,0.02,0.01,2.32,0.24,2.88,1.88,0.43,0.01,41.87,0.02,0.0,985.15,131.62,5.58,3.3,0.72,97.85,0.75
La_Martella,40.686388,16.546944,01/01/2021 10:00,0.95,-9999.0,312.0,0.01,0.01,2.35,0.25,2.86,2.09,0.64,0.01,45.89,0.03,0.0,985.13,292.43,4.99,5.66,0.66,87.59,0.06
La_Martella,40.686388,16.546944,01/01/2021 11:00,0.91,0.47,194.0,0.02,0.01,-9999.0,-9999.0,2.53,1.76,0.47,0.01,55.41,0.01,0.0,985.06,424.32,5.22,8.13,0.65,80.1,2.59
La_Martella,40.686388,16.546944,01/01/2021 12:00,0.93,0.45,180.0,0.01,0.02,2.15,0.26,2.03,1.45,0.45,0.01,63.49,0.01,0.0,984.88,493.37,5.62,9.38,0.59,77.44,4.67
La_Martella,40.686388,16.546944,01/01/2021 13:00,0.98,0.45,182.0,0.01,0.01,2.15,0.26,2.2,1.54,0.46,0.01,63.95,0.01,0.0,984.43,370.84,5.51,10.4,0.4,74.56,4.39
La_Martella,40.686388,16.546944,01/01/2021 14:00,0.96,0.45,176.0,0.02,0.0,2.14,0.26,2.21,1.6,0.49,0.01,65.28,0.01,0.0,983.98,426.05,5.1,10.91,0.43,73.03,5.01
La_Martella,40.686388,16.546944,01/01/2021 15:00,0.96,0.42,178.0,0.01,0.01,2.12,0.26,1.91,1.23,0.3,0.01,67.88,0.01,0.0,983.96,297.43,5.01,10.93,0.48,73.28,4.87
La_Martella,40.686388,16.546944,01/01/2021 16:00,0.85,0.43,175.0,0.01,0.01,2.1,0.27,2.1,1.35,0.31,0.01,69.89,0.01,0.0,984.06,84.4,4.46,10.53,0.35,77.97,4.3
La_Martella,40.686388,16.546944,01/01/2021 17:00,0.87,0.43,177.0,0.01,0.01,2.13,0.25,1.88,1.32,0.41,0.01,69.24,0.01,0.0,984.21,20.45,5.74,9.92,0.32,80.05,2.89
La_Martella,40.686388,16.546944,01/01/2021 18:00,0.88,0.44,175.0,0.02,0.01,2.14,0.26,2.23,1.59,0.45,0.01,67.49,0.01,0.0,984.43,0.14,5.63,8.7,0.38,87.81,2.35
La_Martella,40.686388,16.546944,01/01/2021 19:00,0.99,0.47,159.0,0.02,0.01,2.15,0.26,3.38,2.05,0.29,0.01,66.43,0.01,0.0,984.36,0.13,5.66,8.39,0.46,88.03,1.4
La_Martella,40.686388,16.546944,01/01/2021 20:00,1.28,0.49,189.0,0.01,0.01,2.16,0.26,5.93,3.9,0.8,0.01,-9999.0,0.01,0.0,984.07,0.12,5.21,7.5,0.65,89.31,0.47
La_Martella,40.686388,16.546944,01/01/2021 21:00,1.2,0.49,135.0,0.02,0.01,2.16,0.27,7.67,4.62,0.61,0.01,57.52,0.01,0.0,984.09,0.11,5.41,6.98,0.83,93.8,0.84
La_Martella,40.686388,16.546944,01/01/2021 22:00,1.31,0.5,127.0,0.01,0.01,2.17,0.26,7.48,4.92,1.02,0.01,58.45,0.01,0.0,984.17,0.13,4.16,7.44,1.08,92.32,0.9
La_Martella,40.686388,16.546944,01/01/2021 23:00,1.3,0.59,103.0,0.02,0.01,2.2,0.28,13.58,7.63,0.54,0.01,48.44,0.02,0.0,984.06,0.1,5.28,6.48,0.81,96.38,1.84
La_Martella,40.686388,16.546944,02/01/2021 00:00,1.74,0.6,143.0,0.07,0.02,2.22,0.27,6.56,3.71,0.29,0.03,53.88,0.22,0.0,983.97,0.15,5.87,6.32,1.2,97.71,0.4
La_Martella,40.686388,16.546944,02/01/2021 01:00,1.26,0.49,126.0,0.04,0.01,2.17,0.26,2.71,1.7,0.29,0.02,61.29,0.09,0.0,983.59,0.13,5.0,6.79,0.96,98.38,0.38
