Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Etilbenzene (µg/m³),mp-Xilene (µg/m³),o-Xilene (µg/m³),PM10 (µg/m³),Toluene (µg/m³)
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 19:00,2.25,-9999.0,0.61,3.44,0.78,20.82,3.02
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 20:00,3.69,1.22,0.65,3.56,0.81,7.77,3.27
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 21:00,4.1,1.19,0.8,4.28,0.95,15.26,3.97
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 22:00,3.48,0.96,0.92,4.49,1.05,16.8,3.8
Potenza_Viale_Unicef,40.627777,15.796388,02/01/2021 23:00,2.76,0.89,0.65,3.02,0.67,28.54,2.97
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 00:00,2.56,0.74,0.53,2.59,0.65,19.6,2.33
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 01:00,2.029,0.43,0.33,1.56,0.31,28.65,1.39
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 02:00,1.04,0.3,0.11,0.72,0.12,27.67,0.86
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 03:00,0.67,0.34,0.11,0.62,0.11,27.81,0.58
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 04:00,0.59,0.25,0.11,0.61,0.11,29.4,0.57
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 05:00,0.51,0.26,0.11,0.61,0.11,32.85,0.56
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 06:00,0.28,0.18,0.11,0.61,0.11,40.03,0.56
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 07:00,0.24,0.28,0.11,0.61,0.11,45.09,0.56
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 08:00,0.52,0.34,0.11,1.09,0.22,54.33,0.98
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 09:00,0.57,0.37,0.11,1.16,0.25,49.18,1.03
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 10:00,0.86,0.49,0.24,1.19,0.26,53.45,1.04
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 11:00,1.14,0.23,0.53,2.77,0.64,32.26,2.029
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 12:00,0.32,0.15,0.18,0.94,0.25,28.09,0.63
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 13:00,0.21,0.15,0.11,0.58,0.14,39.03,0.5
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 14:00,0.22,0.17,0.11,0.58,0.16,35.14,0.39
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 15:00,0.22,0.15,0.11,0.61,0.18,31.0,0.5
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 16:00,0.32,0.25,0.11,0.4,0.12,28.85,0.15
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 17:00,0.45,0.21,0.11,0.35,0.1,23.35,0.33
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 18:00,0.67,-9999.0,0.11,0.73,0.16,24.32,0.68
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 19:00,1.62,0.91,0.44,1.63,0.38,29.09,1.61
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 20:00,3.5,1.04,0.99,3.88,1.05,29.64,3.87
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 21:00,3.58,1.09,1.14,5.08,1.25,17.89,4.1
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 22:00,3.44,0.82,0.91,4.019,0.84,18.55,3.68
Potenza_Viale_Unicef,40.627777,15.796388,03/01/2021 23:00,1.58,0.19,0.45,2.57,0.52,17.26,1.87
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 00:00,0.32,0.18,0.11,0.67,0.12,18.75,0.39
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 01:00,0.24,0.15,0.11,0.18,0.11,9.89,0.1
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 02:00,0.18,0.15,0.11,0.05,0.1,13.82,0.09
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 03:00,0.09,0.17,0.11,0.07,0.11,16.23,0.09
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 04:00,0.22,0.28,0.11,0.29,0.11,18.14,0.27
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 05:00,1.54,0.33,0.11,0.6,0.11,17.22,0.57
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 06:00,0.95,0.24,0.11,0.63,0.11,18.89,0.57
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 07:00,0.29,0.22,0.11,0.18,0.11,10.42,0.16
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 08:00,0.47,0.52,0.11,1.01,0.22,15.33,0.75
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 09:00,1.78,0.67,0.58,3.26,0.76,17.77,2.62
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 10:00,-9999.0,-9999.0,0.64,-9999.0,0.67,17.23,-9999.0
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 11:00,-9999.0,0.39,-9999.0,-9999.0,-9999.0,26.45,-9999.0
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 12:00,-9999.0,0.3,-9999.0,-9999.0,-9999.0,29.92,-9999.0
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 13:00,-9999.0,0.24,0.95,-9999.0,1.17,26.49,-9999.0
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 14:00,0.46,0.2,0.56,2.7,0.76,25.08,1.08
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 15:00,0.35,0.2,0.32,1.58,0.64,25.32,0.84
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 16:00,0.47,0.24,0.29,1.31,0.21,29.45,0.71
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 17:00,0.61,-9999.0,0.33,1.38,0.33,29.6,0.77
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 18:00,0.89,0.54,0.35,1.67,0.41,30.15,1.2
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 19:00,1.76,0.62,0.61,3.09,0.75,26.91,2.32
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 20:00,1.33,0.57,0.53,2.85,0.66,24.0,2.029
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 21:00,1.45,0.48,0.54,2.3,0.64,23.84,1.79
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 22:00,1.25,0.45,0.38,1.79,0.64,11.57,1.33
Potenza_Viale_Unicef,40.627777,15.796388,04/01/2021 23:00,1.25,0.42,0.36,1.64,0.25,12.86,1.03
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 00:00,1.0,0.38,0.14,0.77,0.19,21.05,0.62
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 01:00,0.77,0.32,0.11,0.62,0.16,16.69,0.56
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 02:00,0.63,0.44,0.22,0.8,0.14,4.01,0.38
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 03:00,0.77,0.4,0.4,1.41,0.19,19.47,1.15
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 04:00,0.83,0.4,0.41,1.19,0.16,23.6,1.21
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 05:00,0.62,0.2,0.31,0.95,0.17,23.1,0.92
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 06:00,0.22,0.25,0.11,0.17,0.1,27.57,0.15
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 07:00,0.61,0.54,0.31,1.75,0.51,14.23,1.38
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 08:00,0.8,0.67,0.53,2.61,0.54,6.8,1.8
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 09:00,1.4,1.0,0.78,3.67,0.86,13.06,2.96
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 10:00,3.61,0.67,1.26,0.82,1.03,10.86,3.08
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 11:00,1.46,0.23,0.62,2.06,0.45,15.18,1.44
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 12:00,0.55,0.21,0.13,1.17,0.15,13.14,0.85
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 13:00,0.38,0.24,0.11,0.83,0.15,12.22,0.56
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 14:00,0.54,0.19,0.11,0.69,0.14,12.02,0.56
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 15:00,0.33,0.16,0.11,0.54,0.11,16.47,0.5
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 16:00,0.19,-9999.0,0.11,0.42,0.1,17.03,0.28
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 17:00,0.2,0.21,0.11,0.47,0.11,8.52,0.53
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 18:00,0.41,0.23,0.11,0.55,0.1,14.9,0.55
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 19:00,0.03,0.24,0.11,0.54,0.16,14.46,0.55
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 20:00,0.3,0.29,0.11,0.63,0.16,18.13,0.55
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 21:00,0.6,0.28,0.11,0.55,0.13,34.65,0.55
