"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","01","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","02","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","03","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","04","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","05","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","06","0.03","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","07","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","08","0.02","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","09","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","10","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","11","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","12","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","13","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","14","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","15","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","16","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","17","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","18","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","19","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","20","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","21","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","22","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","23","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","01/01/2022","24","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","01","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","02","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","03","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","04","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","05","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","06","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","07","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","08","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","09","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","10","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","11","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","12","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","13","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","14","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","15","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","16","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","17","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","18","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","19","0.09","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","20","0.06","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","21","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","22","0.03","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","23","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","02/01/2022","24","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","01","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","02","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","03","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","04","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","05","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","06","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","07","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","08","0.05","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","09","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","10","0.13","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","11","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","12","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","13","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","14","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","15","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","16","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","17","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","18","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","19","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","20","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","21","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","22","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","23","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","03/01/2022","24","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","01","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","02","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","03","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","04","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","05","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","06","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","07","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","08","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","09","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","10","8.14","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","11","1.32","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","12","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","13","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","14","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","15","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","16","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","17","0.38","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","18","0.08","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","19","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","20","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","21","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","22","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","23","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","04/01/2022","24","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","01","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","02","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","03","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","04","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","05","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","06","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","07","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","08","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","09","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","10","0.42","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","11","0.13","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","12","0.01","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","13","0.00","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","14","-9999","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","15","-9999","-1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","16","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","17","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","18","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","19","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","20","0.03","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","21","0.05","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","22","0.08","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","23","0.01","1"
"Ferrandina","Etilbenzene","µg/m≥","05/01/2022","24","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","01","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","02","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","03","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","04","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","05","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","06","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","07","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","08","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","09","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","10","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","11","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","12","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","13","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","14","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","15","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","16","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","17","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","18","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","19","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","20","0.00","1"
"Ferrandina","Etilbenzene","µg/m≥","06/01/2022","21","0.00","1"
