Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Grumento3,40.288333,15.891388,01/01/2022 01:00,0.5,0.45,241.0,0.07,2.22,927.64,47.63,4.06,5.81,1.14,0.04,63.4,8.03,6.44,0.0,935.18,0.0,-5.3,5.7,9.96,0.11,60.38,1.04,0.04
Grumento3,40.288333,15.891388,01/01/2022 02:00,0.5,0.42,238.0,0.06,2.22,925.6,45.23,2.6,4.31,1.12,0.04,65.11,13.95,10.39,0.0,934.86,0.0,-5.04,4.9,10.12,0.11,58.79,1.28,0.04
Grumento3,40.288333,15.891388,01/01/2022 03:00,0.58,0.39,293.0,0.07,1.84,925.67,45.28,2.11,3.79,1.1,0.04,67.38,11.16,8.86,0.0,934.79,0.0,-7.69,5.66,10.62,0.11,56.15,1.47,0.04
Grumento3,40.288333,15.891388,01/01/2022 04:00,0.3,0.38,326.0,0.07,1.98,904.82,42.25,-9999.0,-9999.0,-9999.0,0.04,70.07,10.09,4.27,0.0,934.27,0.0,-14.04,5.77,10.22,0.11,56.58,0.85,0.04
Grumento3,40.288333,15.891388,01/01/2022 05:00,0.46,0.38,238.0,0.07,2.18,914.59,39.83,2.31,4.03,1.13,0.04,69.24,9.52,3.98,0.0,933.8,0.0,-7.37,6.0,10.21,0.11,56.56,1.67,0.04
Grumento3,40.288333,15.891388,01/01/2022 06:00,0.35,0.38,262.0,0.07,2.29,924.92,38.65,2.24,3.95,1.11,0.04,67.7,14.9,6.64,0.0,934.1,0.0,-7.37,5.92,9.46,0.11,59.07,1.65,0.04
Grumento3,40.288333,15.891388,01/01/2022 07:00,0.3,0.37,32.0,0.07,2.14,919.39,39.72,2.44,4.11,1.09,0.04,69.31,15.77,9.02,0.0,934.25,0.0,-18.04,4.29,9.86,0.11,56.92,0.9,0.04
Grumento3,40.288333,15.891388,01/01/2022 08:00,0.36,0.33,321.0,0.07,2.61,919.0,43.26,5.06,6.86,1.17,0.04,66.78,9.02,6.39,0.0,934.29,0.0,-14.82,4.25,9.73,0.11,56.82,0.72,0.04
Grumento3,40.288333,15.891388,01/01/2022 09:00,0.21,0.37,259.0,0.07,2.2,923.43,43.4,5.14,7.15,1.31,0.04,66.77,11.41,6.08,0.0,934.8,0.45,-7.25,4.5,9.6,0.11,57.69,1.96,0.04
Grumento3,40.288333,15.891388,01/01/2022 10:00,0.26,0.37,342.0,0.07,2.42,922.74,38.99,2.55,4.41,1.21,0.04,72.53,6.83,4.98,0.0,935.02,4.85,-10.72,3.53,10.36,0.11,55.65,1.04,0.04
Grumento3,40.288333,15.891388,01/01/2022 11:00,0.21,0.36,286.0,0.07,2.24,923.04,39.75,2.76,4.64,1.23,0.04,75.62,10.15,5.33,0.0,934.92,9.17,-5.61,2.94,11.63,0.11,52.08,1.04,0.04
Grumento3,40.288333,15.891388,01/01/2022 12:00,0.21,0.4,230.0,0.06,2.15,924.91,45.25,2.63,4.51,1.22,0.04,76.83,14.17,9.13,0.0,934.61,20.01,2.76,2.41,13.87,0.11,46.9,1.32,0.04
Grumento3,40.288333,15.891388,01/01/2022 13:00,0.31,0.39,253.0,0.06,2.1,934.9,36.2,1.92,3.8,1.23,0.04,76.96,15.81,10.63,0.0,934.22,19.11,101.59,2.23,16.63,0.11,43.4,2.78,0.04
