Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 01:00,0.88,31.69
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 02:00,1.02,19.51
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 03:00,0.64,11.08
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 04:00,0.49,4.69
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 05:00,0.42,9.52
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 06:00,0.42,12.8
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 07:00,0.4,6.85
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 08:00,0.57,8.78
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 09:00,0.55,5.66
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 10:00,0.48,4.54
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 11:00,0.4,13.14
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 12:00,0.46,16.45
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 13:00,0.51,24.12
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 14:00,0.39,24.85
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 15:00,0.41,26.77
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 16:00,0.41,16.34
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 17:00,0.8,22.49
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 18:00,1.01,35.75
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 19:00,1.2,23.78
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 20:00,1.33,10.86
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 21:00,1.38,5.05
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 22:00,1.23,9.94
Potenza_viale_Firenze,40.649166,15.795,01/01/2022 23:00,1.0,6.46
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 00:00,0.93,14.01
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 01:00,0.81,22.13
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 02:00,0.59,23.37
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 03:00,0.56,25.54
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 04:00,0.44,14.84
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 05:00,0.46,9.61
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 06:00,0.34,13.5
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 07:00,0.41,8.44
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 08:00,0.59,5.23
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 09:00,0.89,17.67
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 10:00,2.0,23.12
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 11:00,0.47,24.17
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 12:00,0.57,25.01
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 13:00,0.53,16.76
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 14:00,0.55,8.8
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 15:00,0.5,13.69
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 16:00,0.57,24.19
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 17:00,0.61,28.79
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 18:00,0.66,26.12
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 19:00,0.65,27.7
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 20:00,0.63,20.67
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 21:00,0.66,18.35
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 22:00,0.5,9.94
Potenza_viale_Firenze,40.649166,15.795,02/01/2022 23:00,0.47,8.17
Potenza_viale_Firenze,40.649166,15.795,03/01/2022 00:00,0.57,12.0
Potenza_viale_Firenze,40.649166,15.795,03/01/2022 01:00,0.41,15.28
Potenza_viale_Firenze,40.649166,15.795,03/01/2022 02:00,0.37,18.28
Potenza_viale_Firenze,40.649166,15.795,03/01/2022 03:00,0.37,15.7
