Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 01:00,0.41,0.41,40.0,0.06,2.1,874.89,77.08,2.81,5.83,1.96,0.05,54.56,8.75,4.48,0.0,939.9,7.55,-50.34,0.0,7.25,0.42,66.81,1.03,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 02:00,0.43,0.38,292.0,0.06,1.93,874.24,77.56,2.33,5.63,2.15,0.05,57.86,9.92,5.41,0.0,939.52,5.2,-50.58,0.0,8.24,0.09,61.52,1.5,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 03:00,0.22,0.37,1.0,0.06,2.32,870.66,73.47,1.74,4.68,1.91,0.05,60.6,13.39,5.47,0.0,939.41,0.5,-51.03,0.0,8.82,0.09,58.9,1.41,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 04:00,0.22,0.36,301.0,0.06,2.18,880.33,74.86,2.12,5.01,1.89,0.05,59.54,8.39,2.38,0.0,938.85,0.33,-51.94,0.0,8.91,0.09,58.37,1.07,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 05:00,0.24,0.36,303.0,0.06,2.26,891.4,72.63,2.32,5.14,1.83,0.05,56.9,10.8,3.06,0.0,938.41,6.87,-49.94,0.0,7.75,0.09,62.04,1.87,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 06:00,0.29,0.36,316.0,0.06,2.24,892.01,76.82,2.48,5.39,1.89,0.05,56.51,13.57,4.12,0.0,938.75,5.24,-50.7,4.74,7.46,0.09,63.26,1.62,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 07:00,0.23,0.35,348.0,0.06,2.26,887.14,76.4,2.39,5.31,1.9,0.05,58.58,11.13,3.33,0.0,938.88,0.03,-47.85,9.82,8.07,0.14,59.46,0.98,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 08:00,0.26,0.34,6.0,0.06,2.23,888.76,75.61,1.38,4.38,1.96,0.05,62.8,6.11,2.41,0.0,938.93,0.05,-34.33,9.81,9.27,0.09,55.42,1.77,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 09:00,0.24,0.37,283.0,0.06,2.25,900.85,79.31,3.31,6.76,2.25,0.05,56.93,7.24,2.95,0.0,939.47,0.0,57.65,12.36,10.26,0.3,53.73,1.49,0.05
Viggiano_Costa_Molina_Sud1,40.315555,15.954722,01/01/2022 10:00,0.28,0.47,158.0,0.05,2.18,917.66,96.31,5.86,10.31,2.89,0.05,50.18,8.02,3.3,0.0,939.58,38.97,131.47,13.07,13.31,0.1,50.56,1.44,0.05
