Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 01:00,1.72,0.34,182.16,0.35,0.35,1.88,0.1,7.99,4.98,1.81,0.22,53.05,0.26,0.0,939.52,0.0,2.44,7.55,1.1,76.66,2.48
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 02:00,1.44,0.33,182.73,0.19,0.5,1.81,0.1,9.03,5.78,2.07,0.34,51.74,0.29,0.0,939.22,0.0,1.33,7.87,0.51,75.65,2.1
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 03:00,1.41,0.3,199.87,0.23,0.42,1.86,0.1,8.36,5.3,1.94,0.4,54.78,0.16,0.0,938.98,0.0,0.87,8.08,0.8,75.22,2.33
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 04:00,0.93,0.25,199.46,0.28,0.44,1.87,0.1,5.55,3.75,1.85,0.29,58.59,0.28,0.0,938.44,0.0,0.74,8.27,0.25,73.59,3.24
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 05:00,0.96,0.22,198.02,0.19,0.3,1.87,0.09,4.31,3.12,1.87,0.3,60.62,0.28,0.0,938.35,0.0,0.43,8.28,0.35,73.02,3.27
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 06:00,0.79,0.21,201.95,0.37,0.33,1.84,0.09,4.12,3.11,1.96,0.23,58.93,0.28,0.0,938.53,0.0,0.64,7.68,0.37,74.2,4.06
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 07:00,0.64,0.22,202.23,0.26,0.21,1.86,0.09,4.33,3.09,1.83,0.2,58.2,0.15,0.0,938.67,0.0,0.74,7.07,0.33,78.07,3.9
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 08:00,0.97,0.23,200.15,0.16,0.24,1.87,0.08,6.95,4.73,2.1,0.26,55.69,0.23,0.0,938.82,6.18,-9999.0,6.66,0.18,81.9,3.49
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 09:00,0.67,0.24,182.62,0.17,0.27,1.87,0.08,6.32,4.63,2.33,0.22,55.1,0.18,0.0,939.3,40.9,0.1,7.13,0.34,81.43,3.32
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 10:00,0.81,0.26,162.42,0.19,0.25,1.89,0.09,6.45,5.37,3.0,0.24,55.79,0.38,0.0,939.6,153.84,0.34,9.25,0.25,73.32,2.94
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 11:00,0.95,0.29,205.21,0.19,0.26,1.85,0.1,7.08,5.7,3.0,0.22,62.19,0.21,0.0,939.41,262.56,0.22,11.82,0.48,63.43,2.88
Potenza_San_Luca_Branca,40.643888,15.872777,01/01/2022 12:00,1.12,0.26,205.1,0.19,0.32,1.87,0.11,5.47,4.49,2.63,0.22,72.49,0.26,0.0,939.2,420.11,0.4,14.51,0.72,51.2,3.14
