Stazione,Latitudine,Longitudine,Data_Ora,Direzione_Vento (°N),O3 (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mbar),Radiazione_Globale (W/m²),SO2 (µg/m³),Velocità_Vento (m/s)
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 01:00,116.0,19.42,19.19,0.0,946.36,0.19,1.4,0.25
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 02:00,356.0,16.25,10.75,0.0,945.92,0.2,2.03,0.35
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 03:00,207.0,21.31,8.85,0.0,945.7,0.18,1.4,0.37
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 04:00,249.0,26.54,5.73,0.0,945.16,0.15,-9999.0,0.58
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 05:00,209.0,30.72,7.25,0.0,945.13,0.19,1.5,0.42
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 06:00,99.0,36.23,11.81,0.0,945.13,0.17,1.86,0.73
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 07:00,252.0,39.67,7.97,0.0,945.26,0.15,1.8,0.54
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 08:00,132.0,34.49,3.48,0.0,945.6,2.02,2.09,0.75
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 09:00,178.0,34.35,5.48,0.0,945.74,23.09,1.71,0.24
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 10:00,304.0,39.97,4.48,0.0,945.02,75.2,0.73,0.11
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 11:00,250.0,45.77,10.59,0.0,944.14,119.65,1.52,0.72
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 12:00,257.0,53.12,11.47,0.0,944.11,42.92,3.34,1.29
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 13:00,258.0,50.44,11.13,0.0,943.74,18.64,1.72,1.1
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 14:00,258.0,50.48,11.61,0.0,943.62,17.57,1.57,1.23
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 15:00,258.0,51.97,9.61,0.0,943.61,13.24,1.73,0.72
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 16:00,149.0,52.88,10.11,0.0,944.07,9.37,0.15,0.56
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 17:00,142.0,50.82,16.55,0.0,944.73,1.93,0.31,0.66
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 18:00,161.0,42.46,21.17,0.0,945.56,0.22,1.55,0.41
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 19:00,231.0,35.45,14.51,0.0,946.3,0.16,1.22,0.52
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 20:00,202.0,28.58,8.25,0.0,946.97,0.19,1.62,0.33
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 21:00,209.0,21.4,5.79,0.0,947.4,0.21,1.96,0.17
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 22:00,145.0,18.58,6.44,0.0,947.99,0.18,2.27,0.25
Potenza_Cda_Rossellino,40.625277,15.811666,01/01/2022 23:00,162.0,20.38,4.05,0.0,948.1,0.19,2.04,0.16
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 00:00,175.0,23.25,9.27,0.0,948.34,0.17,1.77,0.13
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 01:00,225.0,25.2,13.49,0.0,948.41,0.14,0.83,0.26
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 02:00,166.0,27.31,13.23,0.0,948.44,0.19,1.34,0.1
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 03:00,208.0,26.27,14.37,0.0,948.58,0.19,-9999.0,0.27
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 04:00,216.0,28.84,10.63,0.0,948.39,0.19,1.85,0.15
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 05:00,233.0,25.29,6.8,0.0,948.28,0.19,1.17,0.19
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 06:00,227.0,27.11,10.02,0.0,948.0,0.18,1.73,0.17
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 07:00,225.0,26.81,5.26,0.0,948.13,0.19,2.12,0.19
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 08:00,225.0,26.06,6.77,0.0,948.21,1.93,0.88,0.26
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 09:00,228.0,29.68,11.74,0.0,947.79,23.74,0.64,0.09
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 10:00,222.0,36.84,15.74,0.1,946.64,77.39,1.16,0.14
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 11:00,229.0,43.22,16.26,0.0,945.56,124.28,1.89,0.08
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 12:00,223.0,40.55,17.39,0.0,944.37,43.18,2.58,0.11
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 13:00,265.0,51.07,13.52,0.0,943.35,18.06,2.06,1.18
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 14:00,260.0,52.5,5.51,0.0,943.26,18.39,2.97,2.18
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 15:00,265.0,51.15,7.1,0.0,943.55,14.16,1.38,2.39
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 16:00,266.0,49.17,10.72,0.0,943.87,9.71,0.67,2.24
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 17:00,266.0,41.93,18.14,0.0,944.44,1.92,2.11,1.73
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 18:00,265.0,40.86,14.54,0.0,945.2,0.15,1.79,1.45
Potenza_Cda_Rossellino,40.625277,15.811666,02/01/2022 19:00,264.0,41.34,22.22,0.0,945.31,0.24,2.46,1.57
