Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Ferrandina,40.313888,15.904444,01/01/2022 01:00,0.63,0.27,68.22,0.0,0.0,2.02,0.09,5.29,5.08,2.33,0.0,33.05,0.0,0.0,991.58,0.0,0.83,7.26,0.31,83.53,0.74
Ferrandina,40.313888,15.904444,01/01/2022 02:00,0.65,0.27,43.89,0.0,0.0,2.01,0.06,6.99,6.33,2.69,0.0,30.05,0.0,0.0,991.24,0.0,0.38,6.6,0.3,85.17,0.78
Ferrandina,40.313888,15.904444,01/01/2022 03:00,0.66,0.28,20.02,0.0,0.0,2.0,0.06,12.75,10.2,3.56,0.0,24.16,0.0,0.0,991.07,0.0,0.42,5.98,0.37,88.69,0.45
Ferrandina,40.313888,15.904444,01/01/2022 04:00,0.69,0.28,23.59,0.0,0.0,2.01,0.07,8.06,6.93,2.73,0.0,29.11,0.08,0.0,990.48,0.0,0.72,6.0,0.54,89.55,0.77
Ferrandina,40.313888,15.904444,01/01/2022 05:00,0.66,0.27,22.87,0.0,0.0,2.02,0.06,9.11,8.21,3.47,0.0,25.16,0.0,0.0,990.09,0.0,0.19,5.39,0.45,89.7,0.45
Ferrandina,40.313888,15.904444,01/01/2022 06:00,0.63,0.28,23.91,0.03,0.01,2.03,0.14,5.86,5.13,2.08,0.0,32.52,0.0,0.0,990.42,0.0,0.13,6.05,0.41,90.75,0.77
Ferrandina,40.313888,15.904444,01/01/2022 07:00,0.65,0.28,0.61,0.01,0.01,2.04,0.4,11.88,11.11,4.93,0.0,26.45,0.01,0.0,990.7,0.0,0.39,6.05,0.34,88.14,0.57
Ferrandina,40.313888,15.904444,01/01/2022 08:00,0.66,0.27,2.22,0.02,0.01,2.09,0.12,4.81,4.85,2.34,0.0,34.64,0.0,0.0,991.05,7.13,0.05,6.66,0.44,84.92,0.6
Ferrandina,40.313888,15.904444,01/01/2022 09:00,0.58,0.27,23.62,0.01,0.0,2.06,0.32,5.1,5.17,2.52,0.0,35.68,0.0,0.0,991.42,92.76,0.04,8.92,0.29,82.62,0.88
Ferrandina,40.313888,15.904444,01/01/2022 10:00,0.59,0.27,44.3,0.0,0.01,2.01,0.07,4.21,4.5,2.31,0.0,46.71,0.03,0.0,991.57,313.51,0.46,13.88,0.29,63.39,2.04
Ferrandina,40.313888,15.904444,01/01/2022 11:00,0.52,0.26,44.63,0.0,0.0,1.99,0.07,4.09,4.93,2.8,0.0,56.89,0.01,0.0,991.34,314.38,0.5,17.49,0.22,52.71,3.32
Ferrandina,40.313888,15.904444,01/01/2022 12:00,0.53,0.28,67.84,0.0,0.0,-9999.0,-9999.0,4.33,4.71,2.47,0.0,66.64,0.0,0.0,990.94,495.35,0.48,20.4,0.2,41.92,3.5
Ferrandina,40.313888,15.904444,01/01/2022 13:00,0.49,0.28,44.97,0.0,0.0,1.98,0.08,4.05,4.51,2.41,0.0,71.63,0.0,0.0,990.6,500.23,0.48,21.89,0.16,37.65,3.44
Ferrandina,40.313888,15.904444,01/01/2022 14:00,0.48,0.27,44.61,0.0,0.0,1.96,0.06,3.89,4.42,2.4,0.0,72.9,0.0,0.0,990.19,428.55,1.03,22.24,0.14,36.86,3.79
Ferrandina,40.313888,15.904444,01/01/2022 15:00,0.4,0.29,67.38,0.0,0.0,1.96,0.08,4.22,4.66,2.47,0.0,71.95,0.0,0.0,990.05,311.26,-9999.0,21.42,0.1,39.56,3.91
Ferrandina,40.313888,15.904444,01/01/2022 16:00,0.49,0.3,44.73,0.0,0.0,1.97,0.09,4.57,5.05,2.68,0.0,69.09,0.0,0.0,990.3,155.67,0.59,20.07,0.15,44.19,3.57
Ferrandina,40.313888,15.904444,01/01/2022 17:00,0.51,0.27,67.18,0.0,0.0,1.97,0.06,4.32,4.83,2.58,0.0,62.74,0.0,0.0,990.55,6.73,0.4,17.3,0.15,52.03,3.3
Ferrandina,40.313888,15.904444,01/01/2022 18:00,0.45,0.26,66.25,0.0,0.0,1.99,0.05,4.44,4.68,2.38,0.0,59.5,0.0,0.0,991.21,0.0,0.15,15.71,0.13,57.21,3.8
Ferrandina,40.313888,15.904444,01/01/2022 19:00,0.49,0.26,45.68,0.0,0.0,1.99,0.05,3.63,4.35,2.48,0.0,58.9,0.0,0.0,992.01,0.0,0.42,14.82,0.14,58.96,2.55
Ferrandina,40.313888,15.904444,01/01/2022 20:00,0.48,0.25,69.1,0.0,0.0,1.99,0.06,3.87,4.52,2.51,0.0,61.94,0.0,0.0,992.75,0.0,0.21,14.53,0.15,57.22,2.3
Ferrandina,40.313888,15.904444,01/01/2022 21:00,0.48,0.25,45.0,0.0,0.0,1.99,0.06,3.95,4.22,2.17,0.0,57.34,0.0,0.0,993.05,0.0,0.01,12.69,0.14,60.93,2.28
Ferrandina,40.313888,15.904444,01/01/2022 22:00,0.45,0.25,44.69,0.0,0.0,2.01,0.05,4.67,4.79,2.37,0.0,52.0,0.0,0.0,993.47,0.0,0.12,11.12,0.16,66.35,1.52
Ferrandina,40.313888,15.904444,01/01/2022 23:00,0.51,0.28,44.12,0.0,0.0,2.03,0.05,8.23,7.1,2.82,0.0,46.64,0.0,0.0,993.87,0.0,0.14,10.17,0.16,70.46,1.31
Ferrandina,40.313888,15.904444,02/01/2022 00:00,0.64,0.28,44.54,0.0,0.0,2.03,0.05,4.56,4.24,1.87,0.0,46.27,0.0,0.0,994.22,0.0,0.05,9.71,0.21,72.55,1.74
Ferrandina,40.313888,15.904444,02/01/2022 01:00,0.72,0.29,42.5,0.0,0.0,2.03,0.05,5.89,4.83,1.76,0.0,41.34,0.0,0.0,994.29,0.0,1.03,8.74,0.24,73.98,1.64
Ferrandina,40.313888,15.904444,02/01/2022 02:00,0.79,0.29,43.84,0.0,0.0,2.01,0.05,4.33,4.36,2.11,0.0,43.4,0.0,0.0,994.43,0.0,0.11,8.71,0.28,74.87,2.52
Ferrandina,40.313888,15.904444,02/01/2022 03:00,0.79,0.3,43.57,0.0,0.0,2.01,0.05,4.9,4.56,2.06,0.0,42.85,0.0,0.0,994.54,0.0,0.0,8.78,0.28,72.3,2.28
Ferrandina,40.313888,15.904444,02/01/2022 04:00,0.85,0.3,43.65,0.0,0.0,2.02,0.05,4.74,4.37,1.91,0.0,38.98,0.0,0.0,994.51,0.0,0.03,7.54,0.29,73.76,1.69
Ferrandina,40.313888,15.904444,02/01/2022 05:00,0.82,0.29,43.76,0.0,0.0,2.02,0.05,4.85,4.33,1.81,0.0,36.62,0.0,0.0,994.47,0.0,0.03,6.57,0.3,78.23,1.86
Ferrandina,40.313888,15.904444,02/01/2022 06:00,0.76,0.3,43.29,0.0,0.0,2.01,0.07,5.11,4.98,2.33,0.0,36.74,0.0,0.0,994.25,0.0,0.11,6.69,0.3,76.48,1.64
Ferrandina,40.313888,15.904444,02/01/2022 07:00,0.77,0.29,43.32,0.0,0.0,2.01,0.06,8.26,6.89,2.59,0.0,30.79,0.0,0.0,994.23,0.0,0.0,5.65,0.31,79.97,2.05
Ferrandina,40.313888,15.904444,02/01/2022 08:00,0.73,0.29,43.22,0.0,0.0,2.02,0.06,7.56,6.34,2.4,0.0,31.79,0.0,0.0,994.31,7.22,0.14,5.77,0.29,79.44,2.07
Ferrandina,40.313888,15.904444,02/01/2022 09:00,0.71,0.28,44.05,0.0,0.0,2.02,0.06,6.14,5.83,2.64,0.0,34.66,0.0,0.0,994.6,93.66,0.14,7.47,0.28,74.83,2.14
Ferrandina,40.313888,15.904444,02/01/2022 10:00,0.68,0.27,44.06,0.0,0.0,2.02,0.06,5.08,5.3,2.65,0.0,39.75,0.0,0.0,994.59,320.68,0.12,11.19,0.26,60.79,1.79
Ferrandina,40.313888,15.904444,02/01/2022 11:00,0.67,0.27,67.86,0.0,0.0,-9999.0,-9999.0,5.47,5.23,2.38,0.0,47.45,0.0,0.0,994.43,311.43,0.04,14.34,0.24,51.72,0.61
Ferrandina,40.313888,15.904444,02/01/2022 12:00,0.64,0.26,270.82,0.0,0.0,1.99,0.07,5.28,4.91,2.17,0.0,56.12,0.0,0.0,993.65,497.24,0.08,17.35,0.21,44.0,0.69
Ferrandina,40.313888,15.904444,02/01/2022 13:00,0.5,0.23,201.74,0.0,0.0,1.96,0.06,4.52,5.18,2.84,0.0,59.09,0.0,0.0,992.08,508.39,0.0,19.11,0.18,41.87,0.89
Ferrandina,40.313888,15.904444,02/01/2022 14:00,0.41,0.22,270.85,0.0,0.0,1.96,0.06,3.48,4.3,2.49,0.0,66.14,0.0,0.0,990.94,436.91,-9999.0,20.36,0.14,38.8,0.87
Ferrandina,40.313888,15.904444,02/01/2022 15:00,0.34,0.23,267.53,0.0,0.0,1.96,0.07,5.78,5.86,2.85,0.0,68.63,0.0,0.0,990.53,323.39,0.14,19.73,0.07,38.13,2.02
Ferrandina,40.313888,15.904444,02/01/2022 16:00,0.41,0.29,269.58,0.0,0.0,1.96,0.06,8.8,7.29,2.71,0.0,60.34,0.0,0.0,990.74,158.8,0.06,17.98,0.85,49.68,1.98
Ferrandina,40.313888,15.904444,02/01/2022 17:00,0.69,0.29,292.57,0.0,0.0,1.97,0.07,17.65,13.49,4.3,0.0,41.69,0.0,0.0,991.22,6.52,0.05,13.89,1.17,63.09,1.05
Ferrandina,40.313888,15.904444,02/01/2022 18:00,0.69,0.32,0.87,0.0,0.14,1.98,0.07,31.36,29.37,13.05,0.0,15.27,0.04,0.0,991.45,0.0,0.01,9.56,0.84,76.46,0.15
Ferrandina,40.313888,15.904444,02/01/2022 19:00,0.74,0.38,0.06,0.09,0.12,2.0,0.09,56.24,72.31,43.09,0.09,1.74,0.22,0.0,991.74,0.0,0.06,7.62,1.07,84.04,0.11
Ferrandina,40.313888,15.904444,02/01/2022 20:00,0.86,0.35,1.94,0.06,0.1,2.05,0.1,50.89,54.82,28.36,0.02,1.55,0.2,0.0,991.94,0.0,0.05,6.24,1.09,88.86,0.13
Ferrandina,40.313888,15.904444,02/01/2022 21:00,0.76,0.29,21.87,0.01,0.14,2.02,0.08,37.75,31.41,11.75,0.1,8.85,0.26,0.0,992.15,0.0,0.01,5.69,1.65,91.21,0.62
Ferrandina,40.313888,15.904444,02/01/2022 22:00,0.67,0.29,22.25,0.03,0.01,2.01,0.07,26.28,17.94,4.25,0.0,14.39,0.01,0.0,992.05,0.0,0.03,5.5,0.98,92.31,0.57
Ferrandina,40.313888,15.904444,02/01/2022 23:00,0.71,0.32,0.86,0.0,0.01,2.03,0.08,25.1,19.26,6.18,0.0,9.0,0.04,0.0,991.8,0.0,0.03,4.32,0.72,93.26,0.46
